amount,oldbalanceorg,newbalanceorig,oldbalancedest,newbalancedest,isfraud,original_balance_difference,dest_balance_diff,amount_to_origin_ratio,amount_to_dest_ratio,transaction_hour,night_transaction,type_cash_out,type_debit,type_payment,type_transfer
229133.94,15325.0,0.0,5083.0,51513.44,0,15325.0,46430.44,14.95066814563487,45.06961841070024,1,1,True,False,False,False
1563.82,450.0,0.0,0.0,0.0,0,450.0,0.0,3.467450110864745,1563.82,1,1,False,False,True,False
1157.86,21156.0,19998.14,0.0,0.0,0,1157.8600000000006,0.0,0.05472704069575081,1157.86,1,1,False,False,True,False
671.64,15123.0,14451.36,0.0,0.0,0,671.6399999999994,0.0,0.04440888653795292,671.64,1,1,False,False,True,False
215310.3,705.0,0.0,22425.0,0.0,0,705.0,-22425.0,304.97209631728043,9.600923035762062,1,1,False,False,False,True
1373.43,13854.0,12480.57,0.0,0.0,0,1373.4300000000003,0.0,0.09912883435582823,1373.43,1,1,False,False,True,False
9302.79,11299.0,1996.21,29832.0,16896.7,0,9302.79,-12935.3,0.8232557522123894,0.31182884724968996,1,1,False,True,False,False
1065.41,1817.0,751.59,10330.0,0.0,0,1065.4099999999999,-10330.0,0.5860341034103411,0.10312748039879974,1,1,False,True,False,False
3876.41,67852.0,63975.59,0.0,0.0,0,3876.4100000000035,0.0,0.057129530013411346,3876.41,1,1,False,False,True,False
311685.89,10835.0,0.0,6267.0,2719172.89,0,10835.0,2712905.89,28.76392488002953,49.72652999361838,1,1,False,False,False,True
6061.13,443.0,0.0,0.0,0.0,0,443.0,0.0,13.651193693693694,6061.13,1,1,False,False,True,False
9478.39,116494.0,107015.61,0.0,0.0,0,9478.39,0.0,0.08136306279239452,9478.39,1,1,False,False,True,False
8009.09,10968.0,2958.91,0.0,0.0,0,8009.09,0.0,0.7301568055428936,8009.09,1,1,False,False,True,False
8901.99,2958.91,0.0,0.0,0.0,0,2958.91,0.0,3.007520498934089,8901.99,1,1,False,False,True,False
9920.52,0.0,0.0,0.0,0.0,0,0.0,0.0,9920.52,9920.52,1,1,False,False,True,False
3448.92,0.0,0.0,0.0,0.0,0,0.0,0.0,3448.92,3448.92,1,1,False,False,True,False
4206.84,0.0,0.0,0.0,0.0,0,0.0,0.0,4206.84,4206.84,1,1,False,False,True,False
5885.56,0.0,0.0,0.0,0.0,0,0.0,0.0,5885.56,5885.56,1,1,False,False,True,False
5307.88,0.0,0.0,0.0,0.0,0,0.0,0.0,5307.88,5307.88,1,1,False,False,True,False
5031.22,0.0,0.0,0.0,0.0,0,0.0,0.0,5031.22,5031.22,1,1,False,False,True,False
24213.67,0.0,0.0,0.0,0.0,0,0.0,0.0,24213.67,24213.67,1,1,False,False,True,False
8603.42,253.0,0.0,0.0,0.0,0,253.0,0.0,33.87173228346457,8603.42,1,1,False,False,True,False
2791.42,300481.0,297689.58,0.0,0.0,0,2791.4199999999837,0.0,0.009289807708947625,2791.42,1,1,False,False,True,False
7413.54,297689.58,290276.03,0.0,0.0,0,7413.549999999988,0.0,0.02490350887152694,7413.54,1,1,False,False,True,False
3295.19,233633.0,230337.81,0.0,0.0,0,3295.1900000000023,0.0,0.014104068757115831,3295.19,1,1,False,False,True,False
1684.81,297.0,0.0,0.0,0.0,0,297.0,0.0,5.653724832214765,1684.81,1,1,False,False,True,False
5758.59,32604.0,26845.41,209699.0,16997.22,0,5758.59,-192701.78,0.17661677656801106,0.027461087267525035,1,1,False,True,False,False
110414.71,26845.41,0.0,288800.0,2415.16,0,26845.41,-286384.84,4.112829611110015,0.38232107922063985,1,1,True,False,False,False
7823.46,998.0,0.0,0.0,0.0,0,998.0,0.0,7.831291291291292,7823.46,1,1,False,False,True,False
5086.48,0.0,0.0,0.0,0.0,0,0.0,0.0,5086.48,5086.48,1,1,False,False,True,False
5281.48,152019.0,146737.52,0.0,0.0,0,5281.4800000000105,0.0,0.034742007630574924,5281.48,1,1,False,False,True,False
13875.98,15818.0,1942.02,0.0,0.0,0,13875.98,0.0,0.8771717554839117,13875.98,1,1,False,False,True,False
56953.9,1942.02,0.0,70253.0,64106.18,0,1942.02,-6146.82,29.312050313429612,0.8106855125686794,1,1,True,False,False,False
5346.89,0.0,0.0,652637.0,6453430.91,0,0.0,5800793.91,5346.89,0.008192734716642305,1,1,True,False,False,False
2204.04,586.0,0.0,0.0,0.0,0,586.0,0.0,3.7547529812606473,2204.04,1,1,False,False,True,False
2641.47,23053.0,20411.53,0.0,0.0,0,2641.470000000001,0.0,0.11457751366357247,2641.47,1,1,False,False,True,False
23261.3,20411.53,0.0,25742.0,0.0,0,20411.53,-25742.0,1.139559868374964,0.9035970943557472,1,1,True,False,False,False
2330.64,203543.0,201212.36,0.0,0.0,0,2330.640000000014,0.0,0.011450300672090555,2330.64,1,1,False,False,True,False
1614.64,41276.0,39661.36,0.0,0.0,0,1614.6399999999994,0.0,0.039117183903868986,1614.64,1,1,False,False,True,False
9164.71,47235.77,38071.06,0.0,0.0,0,9164.71,0.0,0.19401644100559795,9164.71,1,1,False,False,True,False
2970.97,38071.06,35100.09,0.0,0.0,0,2970.970000000001,0.0,0.07803544121332022,2970.97,1,1,False,False,True,False
38.66,16174.0,16135.34,0.0,0.0,0,38.659999999999854,0.0,0.0023901081916537863,38.66,1,1,False,False,True,False
2252.44,1627.0,0.0,0.0,0.0,0,1627.0,0.0,1.3835626535626535,2252.44,1,1,False,False,True,False
62610.8,79114.0,16503.2,517.0,8383.29,0,62610.8,7866.290000000001,0.7913897490994123,120.87027027027028,1,1,False,False,False,True
5529.13,8547.0,3017.87,10206.0,0.0,0,5529.13,-10206.0,0.6468331773514272,0.541699813853238,1,1,False,True,False,False
82940.31,3017.87,0.0,132372.0,49864.36,0,3017.87,-82507.64,27.473958799153326,0.6265651605689982,1,1,True,False,False,False
4510.22,10256.0,5745.78,10697.0,0.0,0,4510.22,-10697.0,0.43972116603295314,0.42159469059637317,1,1,False,True,False,False
8727.74,882770.0,874042.26,12636.0,0.0,0,8727.73999999999,-12636.0,0.009886754322468681,0.6906496795125425,1,1,False,True,False,False
2599.46,874042.26,871442.79,0.0,0.0,0,2599.469999999972,0.0,0.0029740633203898855,2599.46,1,1,False,False,True,False
4874.49,153.0,0.0,253104.0,0.0,0,153.0,-253104.0,31.652532467532467,0.019258766124730844,1,1,False,True,False,False
6440.78,2192.0,0.0,0.0,0.0,0,2192.0,0.0,2.936972184222526,6440.78,1,1,False,False,True,False
4910.14,41551.0,36640.86,0.0,0.0,0,4910.139999999999,0.0,0.1181685598767809,4910.14,1,1,False,False,True,False
6444.64,12019.0,5574.36,0.0,0.0,0,6444.64,0.0,0.5361597337770383,6444.64,1,1,False,False,True,False
5149.66,4782.0,0.0,52752.0,24044.18,0,4782.0,-28707.82,1.0766590006272214,0.09761833450230319,1,1,False,True,False,False
7292.16,216827.0,209534.84,0.0,0.0,0,7292.1600000000035,0.0,0.03363108085671592,7292.16,1,1,False,False,True,False
47458.86,209534.84,162075.98,52120.0,0.0,0,47458.859999999986,-52120.0,0.22649519051251568,0.9105516010820974,1,1,True,False,False,False
136872.92,162075.98,25203.05,217806.0,0.0,0,136872.93000000002,-217806.0,0.8444932772069174,0.6284137791714683,1,1,True,False,False,False
94253.33,25203.05,0.0,99773.0,965870.05,0,25203.05,866097.05,3.7396104991062944,0.944668250245555,1,1,True,False,False,False
2998.04,12030.0,9031.96,0.0,0.0,0,2998.040000000001,0.0,0.24919291829440612,2998.04,1,1,False,False,True,False
3454.08,9031.96,5577.88,0.0,0.0,0,3454.079999999999,0.0,0.38238628312314016,3454.08,1,1,False,False,True,False
4316.2,10999.0,6682.8,0.0,0.0,0,4316.2,0.0,0.39238181818181816,4316.2,1,1,False,False,True,False
2131.84,224.0,0.0,0.0,0.0,0,224.0,0.0,9.474844444444445,2131.84,1,1,False,False,True,False
12986.61,23350.0,10363.39,0.0,0.0,0,12986.61,0.0,0.5561479165774486,12986.61,1,1,False,False,True,False
42712.39,10363.39,0.0,57901.66,24044.18,0,10363.39,-33857.48,4.121071283500525,0.737658511716042,1,1,False,False,False,True
77957.68,0.0,0.0,94900.0,22233.65,0,0.0,-72666.35,77957.68,0.8214632090283558,1,1,False,False,False,True
17231.46,0.0,0.0,24672.0,0.0,0,0.0,-24672.0,17231.46,0.6983933854821059,1,1,False,False,False,True
78766.03,0.0,0.0,103772.0,277515.05,0,0.0,173743.05,78766.03,0.7590223853988995,1,1,False,False,False,True
224606.64,0.0,0.0,354678.92,0.0,0,0.0,-354678.92,224606.64,0.633265734355641,1,1,False,False,False,True
125872.53,0.0,0.0,348512.0,3420103.09,0,0.0,3071591.09,125872.53,0.36117025763744826,1,1,False,False,False,True
379856.23,0.0,0.0,900180.0,19169204.93,0,0.0,18269024.93,379856.23,0.42197761339108464,1,1,False,False,False,True
1505626.01,0.0,0.0,29031.0,5515763.34,0,0.0,5486732.34,1505626.01,51.86091244144392,1,1,False,False,False,True
554026.99,0.0,0.0,579285.56,0.0,0,0.0,-579285.56,554026.99,0.9563953805522434,1,1,False,False,False,True
147543.1,0.0,0.0,223220.0,16518.36,0,0.0,-206701.64,147543.1,0.6609732059259658,1,1,False,False,False,True
761507.39,0.0,0.0,1280036.23,19169204.93,0,0.0,17889168.7,761507.39,0.5949103449123898,1,1,False,False,False,True
1429051.47,0.0,0.0,2041543.62,19169204.93,0,0.0,17127661.31,1429051.47,0.6999854208427734,1,1,False,False,False,True
358831.92,0.0,0.0,474384.53,3420103.09,0,0.0,2945718.5599999996,358831.92,0.7564141343012717,1,1,False,False,False,True
367768.4,0.0,0.0,370763.1,16518.36,0,0.0,-354244.74,367768.4,0.9919201993936307,1,1,False,False,False,True
209711.11,0.0,0.0,399214.71,2415.16,0,0.0,-396799.55000000005,209711.11,0.5253077590558748,1,1,False,False,False,True
583848.46,0.0,0.0,667778.0,2107778.11,0,0.0,1440000.1099999999,583848.46,0.8743138972624176,1,1,False,False,False,True
1724887.05,0.0,0.0,3470595.1,19169204.93,0,0.0,15698609.83,1724887.05,0.49700022713677344,1,1,False,False,False,True
710544.77,0.0,0.0,738531.5,16518.36,0,0.0,-722013.14,710544.77,0.9621035905664274,1,1,False,False,False,True
581294.26,0.0,0.0,5195482.15,19169204.93,0,0.0,13973722.78,581294.26,0.11188454340382183,1,1,False,False,False,True
11996.58,0.0,0.0,40255.0,0.0,0,0.0,-40255.0,11996.58,0.2980072535771065,1,1,False,False,False,True
2875.1,15443.0,12567.9,0.0,0.0,0,2875.1000000000004,0.0,0.18616291116291114,2875.1,1,1,False,False,True,False
8586.98,3763.0,0.0,0.0,0.0,0,3763.0,0.0,2.2813443145589796,8586.98,1,1,False,False,True,False
871.75,19869.0,18997.25,0.0,0.0,0,871.75,0.0,0.04387267237040765,871.75,1,1,False,False,True,False
1035.36,71636.0,70600.64,0.0,0.0,0,1035.3600000000006,0.0,0.014452866535449556,1035.36,1,1,False,False,True,False
1063.53,83084.0,82020.47,0.0,0.0,0,1063.5299999999988,0.0,0.012800505506409099,1063.53,1,1,False,False,True,False
1019.9,204237.0,203217.1,0.0,0.0,0,1019.8999999999942,0.0,0.004993683839442219,1019.9,1,1,False,False,True,False
4059.38,26304.0,22244.62,0.0,0.0,0,4059.380000000001,0.0,0.15431971108154344,4059.38,1,1,False,False,True,False
1876.44,182.0,0.0,0.0,0.0,0,182.0,0.0,10.253770491803278,1876.44,1,1,False,False,True,False
28404.6,0.0,0.0,51744.0,0.0,0,0.0,-51744.0,28404.6,0.5489341965407285,1,1,True,False,False,False
75405.1,0.0,0.0,104209.0,46462.23,0,0.0,-57746.77,75405.1,0.7235879474138759,1,1,True,False,False,False
50101.88,0.0,0.0,67684.0,9940339.29,0,0.0,9872655.29,50101.88,0.7402213193469749,1,1,True,False,False,False
14121.82,0.0,0.0,52679.0,10963.66,0,0.0,-41715.34,14121.82,0.2680679574791192,1,1,True,False,False,False
78292.91,0.0,0.0,121112.0,95508.95,0,0.0,-25603.050000000003,78292.91,0.6464451380116091,1,1,True,False,False,False
176149.9,0.0,0.0,259813.0,46820.71,0,0.0,-212992.29,176149.9,0.6779846351620774,1,1,True,False,False,False
212228.35,0.0,0.0,429747.0,1178808.14,0,0.0,749061.1399999999,212228.35,0.49384371771363683,1,1,True,False,False,False
85423.63,0.0,0.0,5776776.41,19169204.93,0,0.0,13392428.52,85423.63,0.014787419340777404,1,1,True,False,False,False
11648.5,0.0,0.0,260976.0,971418.91,0,0.0,710442.91,11648.5,0.04463420148135659,1,1,True,False,False,False
6165.58,20925.0,14759.42,0.0,0.0,0,6165.58,0.0,0.2946372933193157,6165.58,1,1,False,False,True,False
3705.83,41903.46,38197.63,0.0,0.0,0,3705.8300000000017,0.0,0.08843521668099291,3705.83,1,1,False,False,True,False
419801.4,38197.63,0.0,499962.0,1517262.16,0,38197.63,1017300.1599999999,10.98995958755589,0.8396649352052052,1,1,True,False,False,False
335416.51,144478.0,0.0,295.0,52415.15,0,144478.0,52120.15,2.321558911675745,1133.1638851351352,1,1,True,False,False,False
3372.29,41398.0,38025.71,0.0,0.0,0,3372.290000000001,0.0,0.08145824778376289,3372.29,1,1,False,False,True,False
661.43,14078.0,13416.57,0.0,0.0,0,661.4300000000003,0.0,0.046979899140563955,661.43,1,1,False,False,True,False
864.68,69836.0,68971.32,12040.0,43691.09,0,864.679999999993,31651.089999999997,0.012381402408465426,0.07181131135287766,1,1,False,True,False,False
1203.44,29941.0,28737.56,0.0,0.0,0,1203.4399999999987,0.0,0.040192371919043485,1203.44,1,1,False,False,True,False
330757.04,103657.0,0.0,79676.0,1254956.07,0,103657.0,1175280.07,3.190849138513187,4.15122356514427,1,1,False,False,False,True
1915.43,11450.0,9534.57,0.0,0.0,0,1915.4300000000003,0.0,0.1672718539865514,1915.43,1,1,False,False,True,False
8.73,81313.0,81304.27,0.0,0.0,0,8.729999999995925,0.0,0.0001073615859507588,8.73,1,1,False,False,True,False
3058.8,18138.0,15079.2,11054.0,8917.54,0,3058.7999999999993,-2136.459999999999,0.16863112630244226,0.27668928086838535,1,1,False,True,False,False
5154.97,9476.0,4321.03,0.0,0.0,0,5154.97,0.0,0.5439453413527487,5154.97,1,1,False,False,True,False
5213.25,36380.0,31166.75,0.0,0.0,0,5213.25,0.0,0.14329595118330998,5213.25,1,1,False,False,True,False
5392.75,50757.0,45364.25,0.0,0.0,0,5392.75,0.0,0.10624433586823752,5392.75,1,1,False,False,True,False
25.12,61663.0,61637.88,0.0,0.0,0,25.12000000000262,0.0,0.00040736896730669435,25.12,1,1,False,False,True,False
17150.89,61637.88,44486.99,0.0,0.0,0,17150.89,0.0,0.27824791754814493,17150.89,1,1,False,False,True,False
679502.24,290.0,0.0,171866.0,3940085.21,0,290.0,3768219.21,2335.0592439862544,3.95365160269278,1,1,False,False,False,True
177652.91,23720.0,0.0,55.0,4894.45,0,23720.0,4839.45,7.4892673158804435,3172.373392857143,1,1,False,False,False,True
5443.26,236997.0,231553.74,0.0,0.0,0,5443.260000000009,0.0,0.022967535591017645,5443.26,1,1,False,False,True,False
244.87,257978.49,257733.62,0.0,0.0,0,244.86999999999534,0.0,0.0009491839835794699,244.87,1,1,False,False,True,False
8281.57,257733.62,249452.05,0.0,0.0,0,8281.570000000007,0.0,0.032132159816170604,8281.57,1,1,False,False,True,False
1175.59,20509.0,19333.41,0.0,0.0,0,1175.5900000000001,0.0,0.057317893710385176,1175.59,1,1,False,False,True,False
1097.74,24866.0,23768.26,0.0,0.0,0,1097.7400000000016,0.0,0.04414444846583826,1097.74,1,1,False,False,True,False
184986.8,39588.0,0.0,52340.0,97263.78,0,39588.0,44923.78,4.672681805552047,3.5342618597275557,1,1,False,False,False,True
1718.29,117811.0,116092.71,0.0,0.0,0,1718.2899999999936,0.0,0.014585016806437374,1718.29,1,1,False,False,True,False
3671.32,100094.0,96422.68,0.0,0.0,0,3671.320000000007,0.0,0.036678355562215895,3671.32,1,1,False,False,True,False
3580.26,2565.0,0.0,21185.0,18910.85,0,2565.0,-2274.1500000000015,1.3952689010132502,0.16899178702917023,1,1,False,True,False,False
8550.9,40060.0,31509.1,0.0,0.0,0,8550.900000000001,0.0,0.21344699333516387,8550.9,1,1,False,False,True,False
9753.55,60829.0,51075.45,0.0,0.0,0,9753.550000000003,0.0,0.1603411145816209,9753.55,1,1,False,False,True,False
3026.98,31139.0,28112.02,0.0,0.0,0,3026.9799999999996,0.0,0.09720552344251766,3026.98,1,1,False,False,True,False
467177.03,28112.02,0.0,975121.0,22190.99,0,28112.02,-952930.01,16.6178172960429,0.4790959797850936,1,1,True,False,False,False
3875.99,259138.0,255262.01,608925.82,2415.16,0,3875.9899999999907,-606510.6599999999,0.014957185140021378,0.006365280478202619,1,1,False,True,False,False
2148.89,31213.0,29064.11,0.0,0.0,0,2148.8899999999994,0.0,0.06884378804382649,2148.89,1,1,False,False,True,False
466.97,80030.0,79563.03,0.0,0.0,0,466.97000000000116,0.0,0.005834863990203797,466.97,1,1,False,False,True,False
154139.72,79563.03,0.0,410433.04,1254956.07,0,79563.03,844523.03,1.937304080751063,0.3755529633945567,1,1,True,False,False,False
82685.93,0.0,0.0,833216.44,3420103.09,0,0.0,2586886.65,82685.93,0.09923691707653166,1,1,True,False,False,False
83857.23,0.0,0.0,215457.59,16997.22,0,0.0,-198460.37,83857.23,0.38920346596531613,1,1,True,False,False,False
99109.77,0.0,0.0,299314.82,16997.22,0,0.0,-282317.6,99109.77,0.331121054677297,1,1,True,False,False,False
187726.67,0.0,0.0,190573.0,1567434.81,0,0.0,1376861.81,187726.67,0.9850591896061374,1,1,True,False,False,False
281339.92,0.0,0.0,612801.81,2415.16,0,0.0,-610386.65,281339.92,0.4591035083536904,1,1,True,False,False,False
186447.51,0.0,0.0,5862200.03,19169204.93,0,0.0,13307004.899999999,186447.51,0.03180503518147006,1,1,True,False,False,False
81029.86,0.0,0.0,105343.0,8496.61,0,0.0,-96846.39,81029.86,0.7691929298298906,1,1,True,False,False,False
139054.95,0.0,0.0,182538.03,277515.05,0,0.0,94977.01999999999,139054.95,0.7617820145094449,1,1,True,False,False,False
154716.2,0.0,0.0,187433.0,3461666.05,0,0.0,3274233.05,154716.2,0.8254436228219001,1,1,True,False,False,False
53631.83,0.0,0.0,83244.0,0.0,0,0.0,-83244.0,53631.83,0.6442648807736201,1,1,True,False,False,False
289645.52,0.0,0.0,871442.79,1412484.09,0,0.0,541041.3,289645.52,0.33237430035504645,1,1,True,False,False,False
267148.82,0.0,0.0,641975.35,1178808.14,0,0.0,536832.7899999999,267148.82,0.4161349869041126,1,1,True,False,False,False
47913.58,0.0,0.0,51304.0,0.0,0,0.0,-51304.0,47913.58,0.9338968911412143,1,1,True,False,False,False
193605.38,0.0,0.0,249452.05,0.0,0,0.0,-249452.05,193605.38,0.7761195142733273,1,1,True,False,False,False
344464.4,0.0,0.0,1133312.56,0.0,0,0.0,-1133312.56,344464.4,0.30394447940779956,1,1,True,False,False,False
169409.87,0.0,0.0,909124.16,1178808.14,0,0.0,269683.97999999986,169409.87,0.18634383630962317,1,1,True,False,False,False
25793.74,0.0,0.0,215312.31,49864.36,0,0.0,-165447.95,25793.74,0.11979630985190838,1,1,True,False,False,False
114712.48,0.0,0.0,145400.0,0.0,0,0.0,-145400.0,114712.48,0.7889387280692705,1,1,True,False,False,False
89038.75,0.0,0.0,189808.0,1186556.81,0,0.0,996748.81,89038.75,0.46909656549478684,1,1,True,False,False,False
1341.58,0.0,0.0,80341.0,557537.26,0,0.0,477196.26,1341.58,0.016698364491797565,1,1,True,False,False,False
44443.08,0.0,0.0,6048647.54,19169204.93,0,0.0,13120557.39,44443.08,0.007347604957718373,1,1,True,False,False,False
34729.64,0.0,0.0,44853.0,96.88,0,0.0,-44756.12,34729.64,0.7742818923618852,1,1,True,False,False,False
105979.34,0.0,0.0,435962.9,46820.71,0,0.0,-389142.19,105979.34,0.2430920083061923,1,1,True,False,False,False
57794.61,0.0,0.0,99217.58,0.0,0,0.0,-99217.58,57794.61,0.5824978547364819,1,1,True,False,False,False
15918.79,0.0,0.0,24553.0,0.0,0,0.0,-24553.0,15918.79,0.6483175857294128,1,1,True,False,False,False
19162.08,0.0,0.0,60169.0,215851.28,0,0.0,155682.28,19162.08,0.3184656805717135,1,1,True,False,False,False
220691.42,0.0,0.0,6093090.62,19169204.93,0,0.0,13076114.309999999,220691.42,0.036219941166747135,1,1,True,False,False,False
9536.54,0.0,0.0,49161.0,130747.56,0,0.0,81586.56,9536.54,0.19398193726862212,1,1,True,False,False,False
29784.06,0.0,0.0,63553.0,0.0,0,0.0,-63553.0,29784.06,0.4686417849387922,1,1,True,False,False,False
190445.51,0.0,0.0,203679.0,2107965.39,0,0.0,1904286.3900000001,190445.51,0.9350231245090338,1,1,True,False,False,False
57279.11,0.0,0.0,127206.9,64106.18,0,0.0,-63100.719999999994,57279.11,0.4502795030811766,1,1,True,False,False,False
112086.81,0.0,0.0,292728.0,55974.56,0,0.0,-236753.44,112086.81,0.38290299218731316,1,1,True,False,False,False
80311.89,0.0,0.0,87408.0,63112.23,0,0.0,-24295.769999999997,80311.89,0.918805729387134,1,1,True,False,False,False
151829.91,0.0,0.0,1161088.31,1412484.09,0,0.0,251395.78000000003,151829.91,0.1307650571685997,1,1,True,False,False,False
26004.52,0.0,0.0,52251.58,0.0,0,0.0,-52251.58,26004.52,0.49766958875523465,1,1,True,False,False,False
3146.16,0.0,0.0,9471.0,593737.38,0,0.0,584266.38,3146.16,0.3321537162162162,1,1,True,False,False,False
296752.75,0.0,0.0,404814.81,55974.56,0,0.0,-348840.25,296752.75,0.7330562262378043,1,1,True,False,False,False
191702.06,0.0,0.0,272624.5,971418.91,0,0.0,698794.41,191702.06,0.7031699529207649,1,1,True,False,False,False
365510.05,0.0,0.0,564572.76,1254956.07,0,0.0,690383.31,365510.05,0.6474088522994763,1,1,True,False,False,False
202332.08,0.0,0.0,342149.2,3461666.05,0,0.0,3119516.8499999996,202332.08,0.5913545571506315,1,1,True,False,False,False
55105.9,0.0,0.0,317952.89,2719172.89,0,0.0,2401220.0,55105.9,0.17331412425870935,1,1,True,False,False,False
171508.59,0.0,0.0,443057.43,0.0,0,0.0,-443057.43,171508.59,0.38710151615894095,1,1,True,False,False,False
178439.26,0.0,0.0,278846.75,1186556.81,0,0.0,907710.06,178439.26,0.6399164418576088,1,1,True,False,False,False
88834.86,0.0,0.0,464326.57,971418.91,0,0.0,507092.34,88834.86,0.19131937394973123,1,1,True,False,False,False
210370.09,0.0,0.0,1442298.03,22190.99,0,0.0,-1420107.04,210370.09,0.1458574717338609,1,1,True,False,False,False
36437.06,0.0,0.0,154606.0,1363368.51,0,0.0,1208762.51,36437.06,0.23567535751938784,1,1,True,False,False,False
82691.56,0.0,0.0,657983.89,6453430.91,0,0.0,5795447.0200000005,82691.56,0.12567394974677915,1,1,True,False,False,False
338767.1,0.0,0.0,544481.28,3461666.05,0,0.0,2917184.7699999996,338767.1,0.6221820478712364,1,1,True,False,False,False
187728.59,0.0,0.0,394124.51,2107965.39,0,0.0,1713840.8800000001,187728.59,0.4763167702593014,1,1,True,False,False,False
271002.7,0.0,0.0,851368.24,3940085.21,0,0.0,3088716.9699999997,271002.7,0.3183139433132445,1,1,True,False,False,False
323105.08,0.0,0.0,378299.67,1567434.81,0,0.0,1189135.1400000001,323105.08,0.8540959760922444,1,1,True,False,False,False
10782.94,0.0,0.0,100585.0,0.0,0,0.0,-100585.0,10782.94,0.10720120096236058,1,1,True,False,False,False
89962.11,0.0,0.0,157012.19,0.0,0,0.0,-157012.19,89962.11,0.5729589342143804,1,1,True,False,False,False
101940.14,0.0,0.0,105362.0,92307.65,0,0.0,-13054.350000000006,101940.14,0.9675136433093211,1,1,True,False,False,False
163100.34,0.0,0.0,1078534.03,1178808.14,0,0.0,100274.10999999987,163100.34,0.15122396163618348,1,1,True,False,False,False
136030.66,0.0,0.0,136875.83,0.0,0,0.0,-136875.83,136030.66,0.9938180187253023,1,1,True,False,False,False
68912.23,0.0,0.0,237326.8,97263.78,0,0.0,-140063.02,68912.23,0.2903672894620858,1,1,True,False,False,False
73464.06,0.0,0.0,444779.0,4619798.56,0,0.0,4175019.5599999996,73464.06,0.16516943207878051,1,1,True,False,False,False
106117.28,0.0,0.0,234216.94,51513.44,0,0.0,-182703.5,106117.28,0.45307067426175807,1,1,True,False,False,False
503333.79,0.0,0.0,553161.42,971418.91,0,0.0,418257.49,503333.79,0.9099204353036129,1,1,True,False,False,False
71991.42,0.0,0.0,81682.58,557537.26,0,0.0,475854.68,71991.42,0.8813450634754255,1,1,True,False,False,False
91379.93,0.0,0.0,1241634.38,1178808.14,0,0.0,-62826.23999999999,91379.93,0.073596428929079,1,1,True,False,False,False
26759.05,0.0,0.0,581853.1,2107965.39,0,0.0,1526112.29,26759.05,0.04598927806816176,1,1,True,False,False,False
128487.35,0.0,0.0,701404.75,1567434.81,0,0.0,866030.06,128487.35,0.1831854814420897,1,1,True,False,False,False
252908.87,0.0,0.0,919763.4,1517262.16,0,0.0,597498.7599999999,252908.87,0.2749713622314584,1,1,True,False,False,False
64489.64,0.0,0.0,398424.59,16997.22,0,0.0,-381427.37,64489.64,0.1618611896891462,1,1,True,False,False,False
171369.73,0.0,0.0,1122370.94,3940085.21,0,0.0,2817714.27,171369.73,0.15268532996289982,1,1,True,False,False,False
4493.29,8258.0,3764.71,0.0,0.0,0,4493.29,0.0,0.5440477055333576,4493.29,1,1,False,False,True,False
12121.5,97058.0,84936.5,0.0,0.0,0,12121.5,0.0,0.12488795474917318,12121.5,1,1,False,False,True,False
2278.19,290.0,0.0,0.0,0.0,0,290.0,0.0,7.828831615120275,2278.19,1,1,False,False,True,False
